name	alt name	url	summary	type
Shipbreaker Bay	Shipbreaker Bay	/reference/k/01863/index.html	A bay off the coast of the Stormlands.	place
Shivering Sea	Shivering Sea	/reference/k/02002/index.html	The sea off the extreme northeast coast of Westeros.	place
Skagos	Skagos	/reference/k/01971/index.html	A large island off the coast of the North.	place
Skahazadhan	Skahazadhan	/reference/k/01186/index.html	A river that marks the border between the cities of Slaver's Bay and lands further north.	place
Skane	Skane	/reference/k/02312/index.html	An islands in the Bay of Seals.	place
Skirling Pass	Skirling Pass	/reference/k/01823/index.html	A pass through the Forstfangs.	place
Sky	Sky	/reference/k/01137/index.html	The final of three waycastles between the Gates of the Moon and the Eyrie.	place
Skyreach	Skyreach	/reference/k/02719/index.html	The seat of House Fowler.	place
Slaver's Bay	Slaver's Bay	/reference/k/01187/index.html	Slaver's Bay is both the bay separating the old Ghiscari cities from Valyria and the name of the region in which the slaver cities of the Ghiscari are located.	place
Smoking Log, The	The Smoking Log	/reference/k/01125/index.html	A tavern in the town outside Winterfell.	place
Snakewood	Snakewood	/reference/k/02459/index.html	The seat of House Lynderly.	place
Snow	Snow	/reference/k/01138/index.html	The second of three waycastles between the Gates of the Moon and the Eyrie.	place
Sothoros	Sothoros	/reference/k/02359/index.html	A continent that lies south of the Great Eastern Continent.	place
Southshield	Southshield	/reference/k/02514/index.html	One of the Shield Islands.	place
Sow's Horn	Sow's Horn	/reference/k/02496/index.html	The seat of House Hogg.	place
Spottswood	Spottswood	/reference/k/02428/index.html	The seat of House Santagar.	place
Standfast	Standfast	/reference/k/02764/index.html	The seat of House Osgrey.	place
Starfall	Starfall	/reference/k/01176/index.html	The seat of House Dayne.	place
Starfish Harbor	Starfish Harbor	/reference/k/02656/index.html	A town on the Arbor.	place
Stepstones, The	The Stepstones	/reference/k/01903/index.html	A series of islands between Dorne and the eastern continent.	place
Stone	Stone	/reference/k/01139/index.html	The first of three waycastles between the Gates of the Moon and the Eyrie.	place
Stone Hedge	Stone Hedge	/reference/k/01149/index.html	The keep of House Bracken.	place
Stone Mill	Stone Mill	/reference/k/01593/index.html	A location with a ford over the Red Fork of the Trident.	place
Stonecrab Cay	Stonecrab Cay	/reference/k/02645/index.html	A small island in the Redwyne Straits near the Arbor.	place
Stonedoor	Stonedoor	/reference/k/01595/index.html	One of the abandoned castles along the Wall.	place
Stonehelm	Stonehelm	/reference/k/01596/index.html	The seat of house Swann.	place
Stoney Sept	Stoney Sept	/reference/k/01598/index.html	A large town in the Riverlands.	place
Stony Shore	Stony Shore	/reference/k/01886/index.html	A barren stretch of coastline west of the Rills.	place
Stormlands, The	The Stormlands	/reference/k/01114/index.html	One of the seven principal regions of Westeros.	place
Storm's End	Storm's End	/reference/k/01599/index.html	The seat of House Baratheon.	place
Street of Flour	Street of Flour	/reference/k/02007/index.html	The Street of Flour is a street of King's Landing. Many bakeries and food sellers can be found there.	place
Street of Steel	Street of Steel	/reference/k/02009/index.html	The Street of Steel is a street of King's Landing that is covered with blacksmiths. It starts at the Mud Gate and runs up a hill.	place
Street of the Sisters	Street of the Sisters	/reference/k/02008/index.html	The Street of the Sisters is a street of King's Landing that runs straight from Visenya's Hill to Rhaenys's Hill.	place
Strongsong	Strongsong	/reference/k/02235/index.html	The seat of House Belmore.	place
Summer Isles	Summer Isles	/reference/k/01197/index.html	A group of islands south of Westeros.	place
Summer Sea	Summer Sea	/reference/k/01198/index.html	The sea off the southwest coast of Westeros.	place
Summerhall	Summerhall	/reference/k/01602/index.html	A ruined palace.	place
Sunflower Hall	Sunflower Hall	/reference/k/02695/index.html	The seat of House Cuy.	place
Sunset Sea	Sunset Sea	/reference/k/01199/index.html	The sea off the northwest coast of Westeros.	place
Sunspear	Sunspear	/reference/k/01177/index.html	The seat of House Martell.	place
Sweetport Sound	Sweetport Sound	/reference/k/02919/index.html	The seat of House Sunglass.	place
Sweetsister	Sweetsister	/reference/k/02679/index.html	One of the Three Sisters.	place
Tall Trees Town	Tall Trees Town	/reference/k/01610/index.html	A town of the Summer Isles.	place
Tarbeck Hall	Tarbeck Hall	/reference/k/01612/index.html	The former seat of House Tarbeck. It is now a ruin.	place
Tarth	Tarth	/reference/k/01613/index.html	A long island in the Narrow Sea at the head of Shipbreaker Bay.	place
Ten Towers	Ten Towers	/reference/k/02154/index.html	The seat of House Harlaw.	place
Three Sisters	Three Sisters	/reference/k/01200/index.html	A group of three islands in the Bite.	place
Three Towers	Three Towers	/reference/k/02653/index.html	The seat of House Costayne.	place
Tor, The	The Tor	/reference/k/01624/index.html	The seat of House Jordayne.	place
Torrhen's Square	Torrhen's Square	/reference/k/01629/index.html	The seat of House Tallhart.	place
Tower of Glimmering	Tower of Glimmering	/reference/k/02246/index.html	A castle of House Harlaw.	place
Tower of Joy, The	The Tower of Joy	/reference/k/01210/index.html	A tower that once stood on the border with Dorne.	place
Tower of the Hand	Tower of the Hand	/reference/k/01986/index.html	The Tower of the Hand is the seat of the Hand of the King. It is part of the Red Keep.	place
Towers of Harrenhal	Towers of Harrenhal	/reference/k/02462/index.html		place
Trident, The	The Trident	/reference/k/01150/index.html	A river in Westeros.	place
Tumbler's Falls	Tumbler's Falls	/reference/k/01899/index.html	A town in the Riverlands.	place
Tumblestone	Tumblestone	/reference/k/01154/index.html	A river in Westeros. It begins in the western mountains and joins the Red Fork of the Trident at Riverrun.	place
Twins, The	The Twins	/reference/k/01155/index.html	The seat of House Frey.	place
Tyrosh	Tyrosh	/reference/k/01640/index.html	One of the nine Free Cities.	place
Uplands	Uplands	/reference/k/02693/index.html	The seat of House Mullendore.	place
Vaes Dothrak	Vaes Dothrak	/reference/k/01189/index.html	The only city of the Dothraki. It is the home of the dosh khaleen. At the center of the city is the lake known as the Womb of the World.	place
Vaes Tolorro	Vaes Tolorro	/reference/k/01645/index.html	A ruined city in the red lands.	place
Vaith, The	The Vaith	/reference/k/02908/index.html	A river in Dorne. It joins the Scourge to form the Greenblood.	place
Vale of Arryn	Vale of Arryn	/reference/k/01131/index.html	The heart of the region known as the Vale.	place
Vale, The	The Vale	/reference/k/01113/index.html	One of the seven principal regions of Westeros.	place
Valyria	Valyria	/reference/k/01190/index.html	A freehold, now in ruins, that was adept at magic and created a great empire on the Eastern Continent.	place
Vinetown	Vinetown	/reference/k/02655/index.html	A town on the Arbor.	place
Visenya's Hill	Visenya's Hill	/reference/k/02010/index.html	Visenya's Hill is a landmark in King's Landing, atop of which sits the Great Sept of Baelor.	place
Volantis	Volantis	/reference/k/01649/index.html	One of the nine Free Cities.	place
Volmark	Volmark	/reference/k/02374/index.html	The seat of House Volmark.	place
Wall, The	The Wall	/reference/k/01163/index.html	A giant wall constructed of ice and magic that denotes the northern border of the Seven Kingdoms.	place
Water Gardens, The	The Water Gardens	/reference/k/02162/index.html	A palace just outside Sunspear that serves as a retreat for the Prince of Dorne.	place
Wat's Wood	Wat's Wood	/reference/k/02771/index.html	A small forest in the Reach.	place
Wayfarer's Rest	Wayfarer's Rest	/reference/k/01654/index.html	The seat of House Vance.	place
Weeping Water, The	The Weeping Water	/reference/k/02902/index.html	A river in the North.	place
Wendish Town	Wendish Town	/reference/k/01156/index.html	A holdfast in the Riverlands.	place
Wendwater, The	The Wendwater	/reference/k/02905/index.html	A river that flows through the Kingswood.	place
Westerlands, The	The Westerlands	/reference/k/01111/index.html	One of the seven principal regions of Westeros.	place
Westeros	Westeros	/reference/k/01109/index.html	The continent on which the Seven Kingdoms are located.	place
Whispering Sound	Whispering Sound	/reference/k/02115/index.html	The Whispering Sound is an inlet that serves as the harbor of Oldtown.	place
Whispers, The	The Whispers	/reference/k/02294/index.html	The former seat of House Crabb, now in ruins.	place
White Harbor	White Harbor	/reference/k/01126/index.html	The seat of House Manderly and the principal port of the North.	place
White Knife	White Knife	/reference/k/01127/index.html	A river in the North. It empties into the sea at White Harbor.	place
White Sword Tower, The	The White Sword Tower	/reference/k/02025/index.html	The headquarters of the Kingsguard. It is part of the Red Keep.	place
Whitetree	Whitetree	/reference/k/01658/index.html	A wildling village.	place
Whitewalls	Whitewalls	/reference/k/02592/index.html	A town in the Riverlands.	place
Wickenden	Wickenden	/reference/k/02621/index.html	The seat of House Waxley.	place
Widow's Watch	Widow's Watch	/reference/k/01659/index.html	The seat of House Flint.	place
Winterfell	Winterfell	/reference/k/01128/index.html	The seat of House Stark.	place
Wolfswood	Wolfswood	/reference/k/01852/index.html	A large forest stretching north and west of Winterfell.	place
Worm River	Worm River	/reference/k/01843/index.html	A river in the Slaver's Bay region.	place
Wyndhall	Wyndhall	/reference/k/02049/index.html	The seat of House Estren.	place
Yi Ti	Yi Ti	/reference/k/01191/index.html	A land in the far east.	place
Yronwood	Yronwood	/reference/k/02075/index.html	The seat of House Yronwood.	place
Yunkai	Yunkai	/reference/k/01669/index.html	A slave-trading city on Slaver's Bay.	place
