name	alt name	url	summary
Dyah	Dyah	/reference/k/01320/index.html	Daughter and wife of Craster.
Dykk Harlaw	Dykk Harlaw	/reference/k/01321/index.html	An ironman warrior.
Dywen	Dywen	/reference/k/00737/index.html	A ranger of the Night's Watch.
Easy	Easy	/reference/k/01909/index.html	A steward of the Night's Watch.
Ebben	Ebben	/reference/k/01322/index.html	A ranger of the Night's Watch.
Ebrose	Ebrose	/reference/k/02094/index.html	The archmaester of the Citadel for healing.
Eddara Tallhart	Eddara Tallhart	/reference/k/00536/index.html	Only daughter of Ser Helman Tallhart.
Eddard Karstark	Eddard Karstark	/reference/k/00297/index.html	Middle son of Lord Rickard Karstark.
Eddard Stark	Eddard Stark	/reference/k/00506/index.html	Lord of Winterfell, Lord Paramount of the North, and Warden of the North.
Edderion Stark	Edderion Stark	/reference/k/01323/index.html	Called the Bridegroom. King in the North.
Eddison Tollett	Eddison Tollett	/reference/k/00585/index.html	Called Dolorous Edd.
Edgerran Oakheart	Edgerran Oakheart	/reference/k/02272/index.html	Called Edgerran the Open-Handed. Lord of Old Oak.
Edmund Ambrose	Edmund Ambrose	/reference/k/02297/index.html	A knight.
Edmund Waxley	Edmund Waxley	/reference/k/02620/index.html	A knight and master of Wickenden.
Edmure Tully	Edmure Tully	/reference/k/00589/index.html	Only son of Lord Hoster Tully and Lady Minisa Whent.
Edmyn Tully	Edmyn Tully	/reference/k/01324/index.html	A former lord of Riverrun and head of House Tully.
Edric Dayne	Edric Dayne	/reference/k/00100/index.html	Lord of Starfall and squire to Lord Beric Dondarrion.
Edric Storm	Edric Storm	/reference/k/00517/index.html	Bastard son of King Robert Baratheon and Delena Norcross.
Edrick Stark	Edrick Stark	/reference/k/01800/index.html	Called Edrick Snowbeard. King in the North.
Edwyd Fossoway	Edwyd Fossoway	/reference/k/00147/index.html	A knight of the Reach.
Edwyle Stark	Edwyle Stark	/reference/k/00897/index.html	Lord of Winterfell.
Edwyn Frey	Edwyn Frey	/reference/k/00178/index.html	Eldest son of Ser Ryman Frey.
Edwyn Osgrey	Edwyn Osgrey	/reference/k/02776/index.html	A knight and eldest son of Ser Eustace Osgrey.
Edwyn Stark	Edwyn Stark	/reference/k/01325/index.html	Called the Spring King. King in the North.
Egen, Vardis	Vardis Egen	/reference/k/00107/index.html	Captain of Lord Jon Arryn's household guard.
Eggon	Eggon	/reference/k/00738/index.html	A soldier in service to House Clegane.
Eglantine	Eglantine	/reference/k/02171/index.html	A septa and tutor to Princess Myrcella Baratheon.
Egon Emeros	Egon Emeros	/reference/k/01326/index.html	Called the Exquisite. One of the Pureblood of Qarth.
Elaena Targaryen	Elaena Targaryen	/reference/k/02894/index.html	Youngest daughter of King Aegon III Targaryen.
Elbert Arryn	Elbert Arryn	/reference/k/00004/index.html	Only son of Ronnel Arryn.
Elder Brother	Elder Brother	/reference/k/02534/index.html	The head brother of the Quiet Isle.
Eldiss	Eldiss	/reference/k/02863/index.html	An ironman warrior.
Eldon Estermont	Eldon Estermont	/reference/k/02469/index.html	A knight and eldest son of Lord Estermont.
Eldred Codd	Eldred Codd	/reference/k/02371/index.html	An Ironman warrior.
Eleanor Mooton	Eleanor Mooton	/reference/k/02739/index.html	Eldest daughter of Lord William Mooton.
Elenei	Elenei	/reference/k/02927/index.html	A legendary queen from the Age of Heroes.
Eleyna Westerling	Eleyna Westerling	/reference/k/00663/index.html	Younger daughter of Lord Gawen Westerling.
Elia Martell	Elia Martell	/reference/k/00366/index.html	Wife of Prince Rhaegar Targaryen.
Elia Sand	Elia Sand	/reference/k/00461/index.html	Fifth bastard daughter of Prince Oberyn Martell.
Elinor Tyrell	Elinor Tyrell	/reference/k/00596/index.html	Only daughter of Ser Theodore Tyrell.
Ellaria Sand	Ellaria Sand	/reference/k/00462/index.html	Bastard daughter of Lord Harmen Uller and Paramour of Prince Oberyn Martell.
Ellendor	Ellendor	/reference/k/02589/index.html	Grand Maester during the reign of Aegon V Targaryen.
Ellery Vance	Ellery Vance	/reference/k/00640/index.html	
Ellyn	Ellyn	/reference/k/02551/index.html	Wife of Lord Tarbeck.
Elmar Frey	Elmar Frey	/reference/k/00179/index.html	Twenty-second son of Lord Walder Frey.
Elron	Elron	/reference/k/00789/index.html	A ranger of the Night's Watch.
Elwood	Elwood	/reference/k/01327/index.html	A guard at Riverrun.
Elwood Harte	Elwood Harte	/reference/k/02017/index.html	A knight.
Elwood Meadows	Elwood Meadows	/reference/k/00372/index.html	A lord of the Reach.
Elyana Vypren	Elyana Vypren	/reference/k/00654/index.html	Wife of Ser Jon Wylde.
Elyas Willum	Elyas Willum	/reference/k/01328/index.html	Son of Lord Willum.
Elyn Norridge	Elyn Norridge	/reference/k/00392/index.html	Wife of Ser Luthor Tyrell.
Elys Waynwood	Elys Waynwood	/reference/k/01919/index.html	
Elys Westerling	Elys Westerling	/reference/k/00664/index.html	A knight of the Westerlands.
Emberlei Frey	Emberlei Frey	/reference/k/00180/index.html	Youngest daughter of Lothar Frey.
Emma	Emma	/reference/k/02089/index.html	A serving wench at the Quill and Tankard in Oldtown. Her daughter is Rosey.
Emmett	Emmett	/reference/k/02038/index.html	Called Iron Emmett. A ranger of the Night's Watch.
Emmon Cuy	Emmon Cuy	/reference/k/00088/index.html	A knight of the Reach.
Emmon Frey	Emmon Frey	/reference/k/00181/index.html	Second son of Lord Walder Frey.
Emmond	Emmond	/reference/k/02139/index.html	A drowned man.
Emphyria Vance	Emphyria Vance	/reference/k/02102/index.html	
Emrick	Emrick	/reference/k/02000/index.html	A trainee of the Night's Watch.
Endehar	Endehar	/reference/k/01343/index.html	An ironman warrior.
Endrew Tarth	Endrew Tarth	/reference/k/00581/index.html	A ranger of the Night's Watch.
Enger	Enger	/reference/k/01344/index.html	A guard at Riverrun.
Eon Hunter	Eon Hunter	/reference/k/00293/index.html	Lord of Longbow Hall.
Eraz, Grazdan Mo	Grazdan Mo Eraz	/reference/k/00109/index.html	A Wise Master of Yunkai.
Erena Glover	Erena Glover	/reference/k/00244/index.html	Only daughter of Robett Glover.
Erenford, Joyeuse	Joyeuse Erenford	/reference/k/00110/index.html	Eighth and current wife of Lord Walder Frey.
Erik Ironmaker	Erik Ironmaker	/reference/k/02391/index.html	Called Erik Anvil-Breaker and Erik the Just. A famed ironman captain and raider.
Ermesande Hayford	Ermesande Hayford	/reference/k/00278/index.html	A lady of the Crownlands.
Eroeh	Eroeh	/reference/k/00739/index.html	A Lhazareen girl.
Erreck	Erreck	/reference/k/01345/index.html	A maester.
Erreg	Erreg	/reference/k/01346/index.html	Called Erreg the Kinslayer. An Andal king in the area now known as the Riverlands.
Erren Florent	Erren Florent	/reference/k/00131/index.html	Second son of Ser Ryam Florent.
Errok	Errok	/reference/k/01347/index.html	A wildling raider.
Errol, Shyra	Shyra Errol	/reference/k/00111/index.html	Lady of Haystack Hall.
Erryk	Erryk	/reference/k/01348/index.html	A knight of the Kingsguard.
Erryk	Erryk	/reference/k/01349/index.html	Called Left. Personal guard to Olenna Tyrell.
Esgred	Esgred	/reference/k/02866/index.html	A longship.
Esgred	Esgred	/reference/k/02865/index.html	Mother of Sigrin.
Estermont, Aemon	Aemon Estermont	/reference/k/00112/index.html	Only son of Ser Eldon Estermont.
Estermont, Alyn	Alyn Estermont	/reference/k/00113/index.html	Only son of Ser Aemon Estermont.
Estermont, Andrew	Andrew Estermont	/reference/k/00114/index.html	Son of Lomas Estermont.
Estermont, Cassana	Cassana Estermont	/reference/k/00115/index.html	Wife of Lord Steffon Baratheon.
Estermont, Lomas	Lomas Estermont	/reference/k/00118/index.html	A knight and second son of Lord Estermont.
Estermont, Lord	Lord Estermont	/reference/k/00117/index.html	Lord of Greenstone.
Estren, Regenard	Regenard Estren	/reference/k/00120/index.html	A lord of the Westerlands.
Ethan Glover	Ethan Glover	/reference/k/00245/index.html	A member of House Glover.
Euron Greyjoy	Euron Greyjoy	/reference/k/00259/index.html	Younger brother of Lord Balon Greyjoy and captain of the Silence.
Eustace	Eustace	/reference/k/02583/index.html	A former septon in Braavos.
Eustace Brune	Eustace Brune	/reference/k/02422/index.html	Lord of Dyre Den.
Eustace Hunter	Eustace Hunter	/reference/k/01944/index.html	
Eustace Osgrey	Eustace Osgrey	/reference/k/02767/index.html	A knight and master of Standfast.
Eyron Stark	Eyron Stark	/reference/k/01351/index.html	King in the North.
Ezzelyno	Ezzelyno	/reference/k/02582/index.html	A red priest in Braavos.
Fair Maid Whent	Fair Maid Whent	/reference/k/00669/index.html	
Fair Walda Frey	Fair Walda Frey	/reference/k/00182/index.html	Called Fair Walda. Daughter of Walton Frey.
Falia Flowers	Falia Flowers	/reference/k/02525/index.html	Bastard daughter of Lord Humfrey Hewett.
Falyse Stokeworth	Falyse Stokeworth	/reference/k/00512/index.html	Elder daughter of Lady Tanda Stokeworth and wife of Ser Balman Byrch.
Farlen	Farlen	/reference/k/01352/index.html	Kennelmaster of Winterfell.
Farman, Jeyne	Jeyne Farman	/reference/k/02471/index.html	Wife of Ser Gareth Clifton.
Farman, Sebaston	Sebaston Farman	/reference/k/02712/index.html	Lord of Fair Isle.
Farring, Annara	Annara Farring	/reference/k/00121/index.html	Seventh wife of Lord Walder Frey.
Farring, Bryen	Bryen Farring	/reference/k/00122/index.html	Squire to Stannis Baratheon.
Farring, Gilbert	Gilbert Farring	/reference/k/00123/index.html	A knight of the Crownlands.
Farring, Godry	Godry Farring	/reference/k/02664/index.html	Called Giantslayer. A knight.
Farrow, Richard	Richard Farrow	/reference/k/02292/index.html	A knight.
Farwynd, Gylbert	Gylbert Farwynd	/reference/k/02386/index.html	Lord of Lonely Light.
Farwynd, Gyles	Gyles Farwynd	/reference/k/02387/index.html	Eldest son of Lord Gylbert Farwynd.
Farwynd, Triston	Triston Farwynd	/reference/k/02678/index.html	Lord of Sealskin Point.
Farwynd, Ygon	Ygon Farwynd	/reference/k/02388/index.html	Middle son of Lord Gylbert Farwynd.
Farwynd, Yohn	Yohn Farwynd	/reference/k/02389/index.html	Youngest son of Lord Gylbert Farwynd.
Fat Walda Frey	Fat Walda Frey	/reference/k/00183/index.html	Middle daughter of Merrett Frey.
Fell, Harwood	Harwood Fell	/reference/k/00116/index.html	Lord of Felwood.
Fell, Lord	Lord Fell	/reference/k/01354/index.html	Lord of Felwood during the reign of Aerys II.
Fell, Son	Son Fell	/reference/k/01587/index.html	Called Silveraxe. Son of Lord Fell.
Fern	Fern	/reference/k/02873/index.html	A commoner.
Ferny	Ferny	/reference/k/01355/index.html	Daughter and wife of Craster.
Ferrego Antaryon	Ferrego Antaryon	/reference/k/02747/index.html	The Sealord of Braavos.
Fireball Ball	Fireball Ball	/reference/k/02833/index.html	A knight and master-at-arms of the Red Keep in the reign of Aegon IV Targaryen. He is a member of House Ball, but his first name is never given.
Flame	Flame	/reference/k/02845/index.html	A horse owned by Lady Rohanne Webber.
Flement Brax	Flement Brax	/reference/k/00042/index.html	Middle son of Lord Andros Brax.
Flint, Byam	Byam Flint	/reference/k/00124/index.html	A ranger of the Night's Watch.
Flint, Danny	Danny Flint	/reference/k/01966/index.html	A member of House Flint.
Flint, Robin	Robin Flint	/reference/k/00125/index.html	A member of House Flint.
Flint, Rodrik	Rodrik Flint	/reference/k/01962/index.html	Lord Commander of the Night's Watch.
Florent, Alekyne	Alekyne Florent	/reference/k/00126/index.html	Only son of Lord Alester Florent.
Florent, Alester	Alester Florent	/reference/k/00127/index.html	Lord of Brightwater Keep.
Florent, Axell	Axell Florent	/reference/k/00128/index.html	Younger brother of Lord Alester Florent.
Florent, Colin	Colin Florent	/reference/k/00129/index.html	A knight and brother of Lord Alester Florent.
Florent, Delena	Delena Florent	/reference/k/00130/index.html	Only daughter of Ser Colin Florent and wife of Ser Hosman Norcross.
Florent, Erren	Erren Florent	/reference/k/00131/index.html	Second son of Ser Ryam Florent.
Florent, Imry	Imry Florent	/reference/k/00133/index.html	Eldest son of Ser Ryam Florent.
Florent, Lord	Lord Florent	/reference/k/02756/index.html	Lord of Brightwater Keep. He is blind.
Florent, Melessa	Melessa Florent	/reference/k/00134/index.html	Wife of Lord Randyll Tarly.
Florent, Merrell	Merrell Florent	/reference/k/00135/index.html	Younger son of Ser Colin Florent.
Florent, Omer	Omer Florent	/reference/k/00136/index.html	Maester of Old Oak and elder son of Ser Colin Florent.
Florent, Rhea	Rhea Florent	/reference/k/00137/index.html	Wife of Lord Leyton Hightower.
Florent, Ryam	Ryam Florent	/reference/k/00138/index.html	A knight and brother of Lord Alester Florent. His son is Ser Imry.
Florent, Rylene	Rylene Florent	/reference/k/00139/index.html	Wife of Ser Rycherd Crane.
Florent, Selyse	Selyse Florent	/reference/k/00140/index.html	Only daughter of Ser Ryam Florent and wife of Lord Stannis Baratheon.
Florian	Florian	/reference/k/02670/index.html	Called Florian the Fool. A semi-legendary hero.
Flowers, Bryen	Bryen Flowers	/reference/k/02840/index.html	Called Black Bryen. A renowned warrior.
Flowers, Garrett	Garrett Flowers	/reference/k/00141/index.html	Younger bastard son of Garth Tyrell.
Flowers, Garse	Garse Flowers	/reference/k/00142/index.html	Elder bastard son of Garth Tyrell.
Flowers, Jafer	Jafer Flowers	/reference/k/00143/index.html	A ranger of the Night's Watch.
Flowers, Robert	Robert Flowers	/reference/k/02327/index.html	Called Red Robert. A former Lord Commander of the Kingsguard.
Fogo	Fogo	/reference/k/00740/index.html	Son of Khal Ogo.
Follard, Dick	Dick Follard	/reference/k/01904/index.html	Called Deaf Dick. A ranger of the Night's Watch.
Foote, Philip	Philip Foote	/reference/k/00144/index.html	A knight of the Westerlands.
Forel, Syrio	Syrio Forel	/reference/k/00145/index.html	An expert sword fighter from Braavos.
Forley Prester	Forley Prester	/reference/k/00415/index.html	A knight of the Westerlands.
Fornio	Fornio	/reference/k/00741/index.html	A ranger of the Night's Watch.
Fossoway, Bryan	Bryan Fossoway	/reference/k/00146/index.html	A knight of the Reach.
Fossoway, Edwyd	Edwyd Fossoway	/reference/k/00147/index.html	A knight of the Reach.
Fossoway, Jon	Jon Fossoway	/reference/k/00149/index.html	A knight of the Reach.
Fossoway, Leonette	Leonette Fossoway	/reference/k/01469/index.html	Wife of Ser Garlan Tyrell.
Fossoway, Raymun	Raymun Fossoway	/reference/k/00150/index.html	Cousin of and squire to Steffon Fossoway. Knighted by Lyonel Baratheon. Founder of the green-apple Fossoways. Fought on behalf of Duncan the Tall in a trial of seven at Ashford Meadow.
Fossoway, Steffon	Steffon Fossoway	/reference/k/00151/index.html	A knight of House Fossoway. Older cousin of Raymun Fossoway. Fought on behalf of Aerion Targaryen in a trial of seven at Ashford Meadow.
Fossoway, Tanton	Tanton Fossoway	/reference/k/00152/index.html	A knight of the Reach.
Fowler, Jennelyn	Jennelyn Fowler	/reference/k/02617/index.html	Daughter of Lord Franklyn Fowler.
Fowler, Jeyne	Jeyne Fowler	/reference/k/02616/index.html	Daughter of Lord Franklyn Fowler.
Fralegg	Fralegg	/reference/k/02354/index.html	Called Fralegg the Strong. A noted ironman ship captain.
Franklyn Fowler	Franklyn Fowler	/reference/k/02615/index.html	Lord of Skyreach.
Frenken	Frenken	/reference/k/00742/index.html	Maester of Castle Stokeworth.
Frey, Aegon	Aegon Frey	/reference/k/00155/index.html	Called Jinglebell.  Middle son of Ser Stevron Frey.
Frey, Aegon Bloodborn	Aegon Bloodborn Frey	/reference/k/00156/index.html	Eldest son of Ser Aenys Frey. He is an outlaw.
Frey, Aenys	Aenys Frey	/reference/k/00157/index.html	Third son of Lord Walder Frey.
Frey, Alesander	Alesander Frey	/reference/k/00158/index.html	Elder son of Symond Frey.
Frey, Alyn	Alyn Frey	/reference/k/00159/index.html	Son of Ser Arwood Frey.
Frey, Alys	Alys Frey	/reference/k/00160/index.html	Wife of Ser Jared Frey.
Frey, Alyx	Alyx Frey	/reference/k/00161/index.html	Only daughter of Symond Frey.
Frey, Amerei	Amerei Frey	/reference/k/00162/index.html	Called Ami. Eldest daughter of Merrett Frey.
Frey, Androw	Androw Frey	/reference/k/00163/index.html	Son of Ser Arwood Frey.
Frey, Arwood	Arwood Frey	/reference/k/00164/index.html	Only son of Ser Hosteen Frey.
Frey, Arwyn	Arwyn Frey	/reference/k/00165/index.html	Sixth daughter of Lord Walder Frey.
Frey, Benfrey	Benfrey Frey	/reference/k/00166/index.html	Sixteenth son of Lord Walder Frey.
Frey, Big Walder	Big Walder Frey	/reference/k/00167/index.html	Eldest son of Ser Jammos Frey.
Frey, Black Walder	Black Walder Frey	/reference/k/00168/index.html	Middle son of Ser Ryman Frey.
Frey, Bradamr	Bradamr Frey	/reference/k/00169/index.html	Younger son of Symond Frey.
Frey, Bryan	Bryan Frey	/reference/k/00170/index.html	Younger son of Walton Frey.
Frey, Cersei	Cersei Frey	/reference/k/00171/index.html	Called Little Bee. Youngest daughter of Raymund Frey.
Frey, Cleos	Cleos Frey	/reference/k/00172/index.html	Eldest son of Ser Emmon Frey and Genna Lannister.
Frey, Colmar	Colmar Frey	/reference/k/00173/index.html	Twentieth son of Lord Walder Frey.
Frey, Cynthia	Cynthia Frey	/reference/k/00174/index.html	Only daughter of Ser Geremy Frey.
Frey, Danwell	Danwell Frey	/reference/k/00175/index.html	Eighth son of Lord Walder Frey.
Frey, Della	Della Frey	/reference/k/00176/index.html	Called Deaf Della. Only daughter of Ser Benfrey Frey.
Frey, Dickon	Dickon Frey	/reference/k/00177/index.html	Younger son of Ser Jammos Frey.
Frey, Edwyn	Edwyn Frey	/reference/k/00178/index.html	Eldest son of Ser Ryman Frey.
Frey, Elmar	Elmar Frey	/reference/k/00179/index.html	Twenty-second son of Lord Walder Frey.
Frey, Emberlei	Emberlei Frey	/reference/k/00180/index.html	Youngest daughter of Lothar Frey.
Frey, Emmon	Emmon Frey	/reference/k/00181/index.html	Second son of Lord Walder Frey.
Frey, Geremy	Geremy Frey	/reference/k/00184/index.html	Tenth son of Lord Walder Frey.
Frey, Hosteen	Hosteen Frey	/reference/k/00185/index.html	Sixth son of Lord Walder Frey.
Frey, Hoster	Hoster Frey	/reference/k/00186/index.html	Only son of Ser Whalen Frey.
Frey, Jammos	Jammos Frey	/reference/k/00187/index.html	A knight and thirteenth son of Lord Walder Frey. His eldest son is Walder.
Frey, Jared	Jared Frey	/reference/k/00188/index.html	Fourth son of Lord Walder Frey.
Frey, Jonos	Jonos Frey	/reference/k/00189/index.html	Younger son of Rhaegar Frey.
Frey, Jyanna	Jyanna Frey	/reference/k/00190/index.html	Wife of Ser Benfrey Frey.
Frey, Kyra	Kyra Frey	/reference/k/00191/index.html	Wife of Ser Garse Goodbrook.
Frey, Little Walder	Little Walder Frey	/reference/k/00192/index.html	Only son of Merrett Frey.
Frey, Lothar	Lothar Frey	/reference/k/00193/index.html	Twelfth son of Walder Frey and also his steward.
Frey, Luceon	Luceon Frey	/reference/k/00194/index.html	Fifth son of Lord Walder Frey and one of the Most Devout of the Faith.
Frey, Lyonel	Lyonel Frey	/reference/k/00195/index.html	A knight and second son of Ser Emmon Frey.
Frey, Lythene	Lythene Frey	/reference/k/00196/index.html	Eldest daughter of Lord Walder Frey and wife of Lord Lucias Vypren.
Frey, Maegelle	Maegelle Frey	/reference/k/00197/index.html	Only daughter of Ser Stevron Frey.
Frey, Malwyn	Malwyn Frey	/reference/k/00198/index.html	Younger son of Ser Raymund Frey.
Frey, Marissa	Marissa Frey	/reference/k/00199/index.html	Youngest daughter of Merrett Frey.
Frey, Mathis	Mathis Frey	/reference/k/00200/index.html	Younger son of Ser Jammos Frey.
Frey, Mellara	Mellara Frey	/reference/k/02692/index.html	Bastard daughter of Lord Walder Frey.
Frey, Merianne	Merianne Frey	/reference/k/00201/index.html	Called Merry. Only daughter of Ser Whalen Frey.
Frey, Merrett	Merrett Frey	/reference/k/00202/index.html	Ninth son of Lord Walder Frey. His only son is Little Walder.
Frey, Morya	Morya Frey	/reference/k/00203/index.html	Wife of Ser Flement Brax.
Frey, Olyvar	Olyvar Frey	/reference/k/00204/index.html	Eighteenth son of Lord Walder Frey.
Frey, Osmund	Osmund Frey	/reference/k/00205/index.html	Only son of Ser Benfrey Frey.
Frey, Perra	Perra Frey	/reference/k/00206/index.html	Only daughter of Petyr Frey.
Frey, Perriane	Perriane Frey	/reference/k/00207/index.html	Wife of Ser Leslyn Haigh.
Frey, Perwyn	Perwyn Frey	/reference/k/00208/index.html	Fifteenth son of Lord Walder Frey.
Frey, Petyr	Petyr Frey	/reference/k/00209/index.html	Called Petyr Pimple.  Youngest son of Ser Ryman Frey.
Frey, Raymund	Raymund Frey	/reference/k/00210/index.html	Eleventh son of Lord Walder Frey.
Frey, Red Walder	Red Walder Frey	/reference/k/00211/index.html	Youngest son of Ser Emmon Frey.
Frey, Rhaegar	Rhaegar Frey	/reference/k/00212/index.html	Younger son of Ser Aenys Frey.
Frey, Robert	Robert Frey	/reference/k/00213/index.html	Elder son of Ser Raymund Frey.
Frey, Robert	Robert Frey	/reference/k/00214/index.html	Elder son of Rhaegar Frey.
Frey, Roslin	Roslin Frey	/reference/k/00215/index.html	Fifth daughter of Lord Walder Frey.
Frey, Ryella	Ryella Frey	/reference/k/00216/index.html	Only daughter of Ser Arwood Frey.
Frey, Ryman	Ryman Frey	/reference/k/00217/index.html	Eldest son of Ser Stevron Frey.
Frey, Sandor	Sandor Frey	/reference/k/00218/index.html	Only son of Ser Geremy Frey.
Frey, Sarra	Sarra Frey	/reference/k/00219/index.html	Middle daughter of Ser Raymund Frey and twin to Serra.
Frey, Serra	Serra Frey	/reference/k/00220/index.html	Eldest daughter of Ser Raymund Frey and twin to Sarra.
Frey, Shirei	Shirei Frey	/reference/k/00221/index.html	Seventh daughter of Lord Walder Frey.
Frey, Steffon	Steffon Frey	/reference/k/00222/index.html	Elder son of Walton Frey.
Frey, Stevron	Stevron Frey	/reference/k/00223/index.html	Eldest son of Lord Walder Frey.
Frey, Symond	Symond Frey	/reference/k/00224/index.html	Seventh son of Lord Walder Frey.
Frey, Tion	Tion Frey	/reference/k/00226/index.html	Third son of Ser Emmon Frey and Genna Lannister.
Frey, Tysane	Tysane Frey	/reference/k/00227/index.html	Eldest daughter of Lothar Frey.
Frey, Tyta	Tyta Frey	/reference/k/00228/index.html	Fourth daughter of Lord Walder Frey.
Frey, Tytos	Tytos Frey	/reference/k/00229/index.html	A knight and only son of Ser Jared Frey.
Frey, Tywin	Tywin Frey	/reference/k/00230/index.html	Elder son of Ser Cleos Frey.
Frey, Walda	Walda Frey	/reference/k/00231/index.html	Only daughter of Edwyn Frey.
Frey, Walda	Walda Frey	/reference/k/00232/index.html	Middle daughter of Lothar Frey.
Frey, Walder	Walder Frey	/reference/k/00233/index.html	Lord of the Twins.
Frey, Walton	Walton Frey	/reference/k/00234/index.html	Youngest son of Ser Stevron Frey.
Frey, Waltyr	Waltyr Frey	/reference/k/00235/index.html	Called Tyr.  Twenty-first son of Lord Walder Frey.
Frey, Wendel	Wendel Frey	/reference/k/00236/index.html	Nineteenth son of Lord Walder Frey.
Frey, Whalen	Whalen Frey	/reference/k/00237/index.html	Fourteenth son of Lord Walder Frey.
Frey, White Walda	White Walda Frey	/reference/k/00238/index.html	Only daughter of Rhaegar Frey.
Frey, Willamen	Willamen Frey	/reference/k/00239/index.html	Maester of Longbow Hall and seventeenth son of Lord Walder Frey.
Frey, Willem	Willem Frey	/reference/k/00240/index.html	Younger son of Ser Cleos Frey.
Frey, Zachery	Zachery Frey	/reference/k/00241/index.html	Only son of Ser Tytos Frey.
Frey, Zia	Zia Frey	/reference/k/00242/index.html	Only daughter of Ser Tytos Frey.
Frynne	Frynne	/reference/k/02618/index.html	The daughter of a smith.
Fury	Fury	/reference/k/01688/index.html	Lord Stannis Baratheon's personal war galley.
Gage	Gage	/reference/k/01359/index.html	Head cook of Winterfell.
Galbart Glover	Galbart Glover	/reference/k/00247/index.html	Master of Deepwood Motte.
Galladon	Galladon	/reference/k/02183/index.html	Called Galladon of Morne. A legendary knight.
Galladon Tarth	Galladon Tarth	/reference/k/02531/index.html	Only son of Lord Selwyn Tarth.
Gallard	Gallard	/reference/k/02700/index.html	An archmaester of the Citadel.
Galt	Galt	/reference/k/01360/index.html	A member of the Stone Crow mountain clan.
Galyeon	Galyeon	/reference/k/00743/index.html	Called Galyeon of Cuy. A noted singer.
Gardener, Mern IX	Mern IX Gardener	/reference/k/01498/index.html	King of the Reach.
Gared	Gared	/reference/k/00744/index.html	A ranger of the Night's Watch.
Gareth	Gareth	/reference/k/02838/index.html	Called Gareth the Grey. A renowned warrior.
Gareth Clifton	Gareth Clifton	/reference/k/02713/index.html	A knight.
Gargalen, Tremond	Tremond Gargalen	/reference/k/01633/index.html	Lord of Salt Shore.
Garigus	Garigus	/reference/k/01362/index.html	A wisdom of the Alchemist's Guild.
Garin	Garin	/reference/k/02427/index.html	Called Garin the Great.
Garin	Garin	/reference/k/02433/index.html	Milk brother to Arianne Martell.
Gariss	Gariss	/reference/k/01363/index.html	A guard at Winterfell.
Garizon	Garizon	/reference/k/02703/index.html	An archmaester of the Citadel.
Garlan Tyrell	Garlan Tyrell	/reference/k/00598/index.html	Middle son of Lord Mace Tyrell.
Garrett Flowers	Garrett Flowers	/reference/k/00141/index.html	Younger bastard son of Garth Tyrell.
Garrett Paege	Garrett Paege	/reference/k/02493/index.html	
Garrison Prester	Garrison Prester	/reference/k/02316/index.html	
Garse Flowers	Garse Flowers	/reference/k/00142/index.html	Elder bastard son of Garth Tyrell.
Garse Goodbrook	Garse Goodbrook	/reference/k/00250/index.html	A knight and member of House Goodbrook.
Garth	Garth	/reference/k/00747/index.html	Called Garth Greyfeather. A ranger of the Night's Watch.
Garth	Garth	/reference/k/00746/index.html	Called Garth of Greenaway. A ranger of the Night's Watch.
Garth	Garth	/reference/k/00745/index.html	Called Garth of Oldtown. A ranger of the Night's Watch.
Garth	Garth	/reference/k/02953/index.html	Called Garth Greenhand. A semi-legendary king of the Reach.
Garth Greenfield	Garth Greenfield	/reference/k/00254/index.html	A knight of the Westerlands.
Garth Hightower	Garth Hightower	/reference/k/01951/index.html	
Garth Tyrell	Garth Tyrell	/reference/k/00599/index.html	Called the Gross.  Uncle to Lord Mace Tyrell and Lord Seneschal of Highgarden.
Garth XII Gardener	Garth XII Gardener	/reference/k/02203/index.html	A former king of the Reach.
Gascoyne	Gascoyne	/reference/k/02274/index.html	Called Ser Gascoyne of the Greenblood. A knight and sworn shield to Prince Trystane Martell.
Gawen Glover	Gawen Glover	/reference/k/00248/index.html	Only son of Robett Glover.
Gawen Swann	Gawen Swann	/reference/k/00525/index.html	A former Lord of Stonehelm and head of House Swann.
Gawen Westerling	Gawen Westerling	/reference/k/00665/index.html	Lord of the Crag.
Gawen Wylde	Gawen Wylde	/reference/k/00678/index.html	Master-at-arms of Storm's End at the time of Robert's rebellion
Gelmarr	Gelmarr	/reference/k/01364/index.html	Called Gelmarr the Grim. An ironman warrior.
Gendel	Gendel	/reference/k/01365/index.html	Joint King-beyond-the-Wall with his brother Gorne.
Gendry	Gendry	/reference/k/00748/index.html	Unacknowledged bastard son of King Robert Baratheon and an armorer's apprentice to Tobho Mott.
Genna Lannister	Genna Lannister	/reference/k/00311/index.html	Only daughter of Lord Tytos Lannister and wife of Ser Emmon Frey.
Geoff	Geoff	/reference/k/02742/index.html	Called the Squirrel. A ranger of the Night's Watch.
Gerald Gower	Gerald Gower	/reference/k/01366/index.html	A knight of the Stormlands.
Gerardys	Gerardys	/reference/k/01369/index.html	Grand Maester during the reign of Aegon II Targaryen.
Geremy Frey	Geremy Frey	/reference/k/00184/index.html	Tenth son of Lord Walder Frey.
Gerion Lannister	Gerion Lannister	/reference/k/00312/index.html	Youngest brother of Lord Tywin Lannister.
Germund Botley	Germund Botley	/reference/k/00912/index.html	
